DocID,NetSales,OperatingIncome,TotalAssets,NetAssets,EquityToAssetRatio,NumberOfIssuedShares,NetIncome
S100JXAF,551148000,128059000,5076412000,1914613000,0.198,"（４）【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2020年６月１日～2020年８月31日（注）１91,4005,724,00010,511458,86910,511448,677　（注）１．新株予約権の行使による増加であります。２．2020年９月１日付の株式交換により、発行済株式総数が698,600株増加しております。 ",27872000
S100JXEE,,59898000,1531949000,851302000,0.555,"（４）【発行済株式総数、資本金等の推移】年月日発行済株式総数増減数（株）発行済株式総数残高（株）資本金増減額（千円）資本金残高（千円）資本準備金増減額（千円）資本準備金残高（千円）2020年６月１日～2020年８月31日（注）１、２26,2008,632,350568370,828－347,630（注）１．新株予約権の行使によるものであります。２．2020年９月１日から2020年９月30日までの間に、新株予約権の行使により、発行済株式総数が33,600株、資本金が2,458千円増加しております。 ",51211000
S100JXG8,1935744000,309778000,2937769000,1372241000,0.4637,0.00004,168710000
S100JXJ4,24272000000,3504000000,111142000000,24747000000,0.105,0.0132,723000000
S100JXQN,516106000000,19334000000,1067240000000,523230000000,0.4903,0.1337,
S100JYMB,5584476000,629782000,5668914000,4776866000,0.807,8000200,-117036000
S100JYSX,67863000000,17231000000,248989000000,215285000000,0.859,0.0001,13044000000
S100JYUP,32509000000,1388000000,62681000000,32501000000,0.519,0.0044,970000000
S100JYZE,225457000000,,749721000000,659501000000,0.880,0.0052,
S100JZ3R,508851000000,227318000000,1025336000000,925270000000,0.793,0.0210,
S100JZ66,207086000000,5092000000,377053000000,64669000000,0.165,0.0000,2094000000
S100JZ8I,1913765000000,53473000000,3739109000000,1356329000000,0.363,0.0853,
S100JZ9U,1191999000000,145381000000,7261141000000,1638923000000,0.221,0.0481,113173000000
S100JZBS,22759182000,3058637000,11760670000,5047035000,0.396,12212,-22301000
S100JZCH,736565000000,8678000000,1949784000000,473181000000,0.235,0.0002,-3733000000
S100JZME,223348000,19432000,432877000,191496000,0.442,0.0342,-33507000
S100JZNT,37272000000,13992000000,131377000000,95730000000,0.729,0.2119,9846000000
S100JZOI,144354000000,7647000000,499678000000,273066000000,0.5355,0.0068,3896000000
S100JZQ1,80064000000,4545000000,167511000000,99915000000,0.591,0.0091,3635000000
S100JZTO,(1) 事業収益本邦以外の外部顧客への売上高がないため、該当事項はありません。 ,-726861000,1256857000,1115093000,0.887,118167,201290000
S100JZTU,191393000000,16861000000,459385000000,294151000000,0.6275,0.0063,9860000000
S100JZWM,278993000000,15247000000,464512000000,253060000000,0.5273,0.0050,9936000000
S100JZXH,40059000000,21656000000,256240000000,231382000000,0.903,0.1069,19147000000
S100JZYO,149008000000,41878000000,642125000000,549477000000,0.856,0.0551,
S100K00A,343356000000,49498000000,2777329000000,850162000000,0.288,0.0000,28201000000
S100K01R,1448993000000,46856000000,2983735000000,858704000000,0.288,0.0000,
S100K027,748923000000,80326000000,2062799000000,1071825000000,0.520,0.0004,
S100K02S,8468065000,508618000,5288688000,1881937000,0.356,4149000,356547000
S100K04O,1828763000000,71060000000,3112827000000,1170096000000,0.376,0.0325,
S100K05Q,1123753000000,73609000000,2260973000000,1108502000000,0.4903,0.0256,
S100K060,1633748000000,440597000000,5267857000000,2662696000000,0.4845,0.1129,
S100K062,243024000000,12959000000,426855000000,304176000000,0.706,0.1061,8855000000
S100K06R,2564457000000,553407000000,9267287000000,4321117000000,0.466,0.0018,
S100K06V,1354513000000,86326000000,5383387000000,1948605000000,0.349,0.0017,136118000000
S100K07B,291052000000,17504000000,1107487000000,601726000000,0.543,0.028,
S100K08T,307615000000,7126000000,330808000000,153628000000,0.459,0.0474,6738000000
S100K0AD,86913000000,30217000000,806932000000,437075000000,0.534,－,23025000000
S100K0BQ,215112000000,28072000000,672770000000,410531000000,0.610,0.0016,
S100K0BU,2182528000000,114230000000,4358001000000,2407907000000,0.553,0.0002,
S100K0CF,32152315000,4430632000,53832622000,44873016000,0.824,0.1368,2797440000
S100K0CS,188834000000,17771000000,852143000000,763953000000,0.896,0.0472,13713000000
S100K0DS,276979000000,138824000000,1751449000000,1668670000000,0.953,0.0028,98591000000
S100K0F1,346518000000,14124000000,677362000000,415644000000,0.593,0.0227,13519000000
S100K0F8,4047983000000,509880000000,21966296000000,4618290000000,0.178,0.0218,
S100K0I0,1706574000000,25811000000,2862737000000,1234911000000,0.421,0.0032,16617000000
S100K0IF,399061000000,41725000000,742029000000,507481000000,0.6392,0.000,29114000000
S100K0JQ,31202000000,4073000000,143568000000,70539000000,0.489,0.0176,3137000000
S100K0KF,1267211000000,99978000000,1441661000000,724035000000,0.472,0.0018,75622000000
S100K0KG,219363000000,-8858000000,352940000000,135402000000,0.370,0.0000,-4618000000
S100K0L9,230603000000,66835000000,805037000000,511665000000,0.636,0.0015,
S100K0LP,434820000000,15765000000,1064869000000,524626000000,0.493,0.0597,
S100K0M8,296329000000,17467000000,571068000000,347688000000,0.596,0.0428,12405000000
S100K0ME,334692000000,4684000000,819902000000,231244000000,0.263,0.0015,1134000000
S100K0MY,260953000000,49024000000,1504237000000,1352301000000,0.894,0.0500,40185000000
S100K0O2,1354201000000,168291000000,2723483000000,1479506000000,0.531,0.0016,118513000000
S100K0OO,549755000000,40421000000,4155389000000,538667000000,0.105,0.0077,27014000000
S100K0PR,1119980000000,73430000000,4232611000000,868305000000,0.188,0.0040,44657000000
S100K0RC,２  報告セグメントごとの利益又は損失の金額の算定方法報告されている事業セグメントの会計処理の方法は、「中間連結財務諸表作成のための基本となる重要な事項」における記載と同一であります。なお、市場部門で調達した資金を個人部門、法人部門で活用する場合、社内の一定のルールに基づいて算出した損益を、それぞれの部門の業績として振り分けております。当グループでは、資産を事業セグメント別に配分していないことから、セグメント資産の開示を省略しております。,32490000000,60474505000000,2397873000000,0.0355,2324118000,122137000000
S100K0RT,421426000000,18755000000,717477000000,356422000000,0.497,0.0042,
S100K0SW,119196000000,7063000000,249776000000,54114000000,0.196,0.0019,3500000000
S100K0T8,157133000000,11737000000,253229000000,205575000000,0.803,0.0005,8510000000
S100K0TN,944464000000,7443000000,2381502000000,785814000000,0.305,0.0007,-6281000000
S100K0TU,2618424000000,134020000000,5767159000000,3661662000000,0.6349,0.0166,
S100K0UA,1877663000000,,5187413000000,1397156000000,0.269,0.0017,
S100K0VH,31411000000,4109000000,33275000000,22248000000,0.661,0.1372,2680000000
S100K0VO,946024000000,13618000000,892732000000,201800000000,0.210,0.0400,5157000000
S100K0WW,243547000000,32416000000,675339000000,559806000000,0.8289,0.0303,
S100K0XA,1109330000000,150972000000,1567272000000,804990000000,0.514,0.0006,
S100K0XN,291847000000,14988000000,389770000000,187103000000,0.463,0.0481,9502000000
S100K0XU,650470000000,162196000000,1979816000000,1296135000000,0.655,0.0006,
S100K0XX,201740000000,55785000000,1791868000000,434585000000,0.240,0.0018,36836000000
S100K0YE,3621048000,142152000,5270535000,3992624000,0.714,0.1707,43817000
S100K0Z4,616266000000,,770867000000,399815000000,0.519,0.0004,
S100K0ZW,261962000000,23830000000,358337000000,202082000000,0.564,0.0265,
S100K10N,76304000000,13816000000,120623000000,75950000000,0.618,0.0998,9252000000
S100K13R,3364298000000,108646000000,4498595000000,1213795000000,0.2698,0.0056,
S100K14Z,946069000000,32789000000,1285509000000,601016000000,0.428,0.0007,18567000000
S100K15D,152749000000,14612000000,373181000000,171012000000,0.429,0.0055,10400000000
S100K15J,72963000000,7602000000,85176000000,53702000000,0.630,0.0003,5160000000
S100K16Q,526241000000,-4174000000,1666292000000,595432000000,0.357,0.0000,
S100K16T,254901000000,12608000000,2168737000000,189072000000,0.083,0.0000,8850000000
S100K173,221361000000,19721000000,560344000000,324274000000,0.579,0.0144,
S100K18A,26111529000,6568361000,73681970000,69354297000,0.938,0.0807,4890415000
S100K19Y,343499000000,5773000000,649291000000,227596000000,0.320,0.0658,814000000
S100K1A3,212302000000,10766000000,393532000000,264843000000,0.664,0.0464,6275000000
S100K1AX,652987000000,44317000000,2029165000000,1035597000000,0.495,0.0022,33449000000
S100K1D5,136759000000,14190000000,246494000000,153211000000,0.599,0.0338,8727000000
S100K1DE,479573000000,86163000000,2043400000000,1272441000000,0.623,0.0853,
S100K1DK,7725356000000,472605000000,20320989000000,8341023000000,0.410,0.0465,
S100K1DX,323712000000,6058000000,545882000000,292155000000,0.508,0.0430,-149000000
S100K1E0,53188000000,5813000000,116999000000,64859000000,0.553,0.0707,3705000000
S100K1EC,294948000000,,796761000000,632499000000,0.794,0.0029,
S100K1FS,219766000000,31643000000,864732000000,487196000000,0.551,0.0175,21244000000
S100K1ID,349447000000,14520000000,1947400000000,233275000000,0.1136,0.0455,7931000000
S100K1JP,85976000000,4273000000,123011000000,38294000000,0.307,0.032,2856000000
S100K1JX,64874000000,7174000000,148025000000,106325000000,0.714,0.0210,4679000000
S100K1KH,190414000000,7549000000,383913000000,202220000000,0.452,0.0246,4774000000
S100K1KM,216368000000,10868000000,237501000000,100013000000,0.421,0.0184,7161000000
S100K1LU,59122000000,3410000000,126629000000,32040000000,0.253,0.0235,2366000000
S100K1LX,947198000000,59741000000,2082032000000,773423000000,0.370,0.0282,49810000000
S100K1MI,208734000000,17286000000,392458000000,225975000000,0.565,0.0038,13168000000
S100K1OL,51112000000,1467000000,122489000000,42062000000,0.343,0.0024,1229000000
S100K1OM,1055981000000,78880000000,2718066000000,1129573000000,0.412,0.0391,56787000000
S100K1PH,372396000000,11065000000,910735000000,213259000000,0.1269,0.0020,16311000000
S100K1PM,335062000000,16755000000,716679000000,354756000000,0.461,0.0477,10790000000
S100K1Q8,56656000000,-9775000000,153771000000,64060000000,0.414,0.0001,-10769000000
S100K1QC,160361000000,13240000000,430762000000,324913000000,0.703,0.0042,7990000000
S100K1QO,592798000000,191298000000,4634230000000,3018776000000,0.595,0.0013,-125427000000
S100K1RQ,41994000000,5589000000,144623000000,108388000000,0.740,0.0009,4262000000
S100K1RX,491011000000,128873000000,3213518000000,1235999000000,0.353,0.0000,80483000000
S100K1S8,208568000000,17443000000,554061000000,321530000000,0.491,0.0528,9801000000
S100K1S9,65213000000,1367000000,76957000000,26746000000,0.339,0.0000,864000000
S100K1SH,888776000000,118604000000,7100590000000,2515141000000,0.343,0.0032,66324000000
S100K1SQ,57387000000,11025000000,171042000000,139883000000,0.816,0.0413,8291000000
S100K1SR,396352000000,40417000000,870691000000,595825000000,0.638,0.0212,26773000000
S100K1T5,303369000000,16034000000,771361000000,550782000000,0.6453,0.0785,8147000000
S100K1T6,640111000,-586988000,4309304000,3663365000,0.848,14206100,-590619000
S100K1TO,49577000000,6003000000,71556000000,41547000000,0.5806,0.0483,3970000000
S100K1U7,29925000000,2827000000,89809000000,49720000000,0.554,0.0025,2066000000
S100K1UB,834850000000,62379000000,1844055000000,745071000000,0.401,0.0308,47694000000
S100K1UH,424697000000,27197000000,956797000000,468901000000,0.478,0.0032,16437000000
S100K1V0,79822000000,19117000000,868934000000,423541000000,0.471,0.0093,21176000000
S100K1V8,694150000000,25689000000,1760412000000,1066943000000,0.5767,0.1337,75495000000
S100K1X2,307278000000,59150000000,1148417000000,718741000000,0.626,0.0052,
S100K1YF,286166000000,12677000000,313384000000,160025000000,0.504,0.0361,6928000000
S100K1YG,190754000000,7801000000,178028000000,52387000000,0.245,0.0000,4727000000
S100K1Z6,１　営業収益の季節的変動前第２四半期累計期間(自  2019年４月１日　至  2019年９月30日)及び当第２四半期累計期間(自  2020年４月１日　至  2020年９月30日)当社では、生命保険会社に対する団体信用生命保険の取次ぎに伴う収入保証料が第４四半期会計期間に集中するため、第４四半期会計期間の営業収益が他の四半期会計期間の営業収益と比較して多くなる傾向にあります。このため、事業年度の営業収益に占める第２四半期累計期間の営業収益は相対的に少なくなっております。 ,12805000000,325108000000,130196000000,0.400,68871790,9241000000
S100K1ZA,1127955000000,10234000000,1927816000000,855304000000,0.4388,0.0012,2598000000
S100K215,8325000,-1218664000,4921751000,4521802000,0.881,－,-1256912000
S100K22J,497488000000,5433000000,1276123000000,526918000000,0.413,0.0128,
S100K230,1660169000000,109033000000,12848649000000,4723483000000,0.384,0.0001,
S100K23U,1871292000000,49063000000,4830328000000,1918353000000,0.397,0.0616,
S100K24Y,89352000000,9187000000,224878000000,171841000000,0.733,0.0647,6141000000
S100K252,47561792000,3430018000,47828246000,25152465000,0.526,0.0048,2440129000
S100K25O,463029000000,23889000000,491726000000,314462000000,0.638,0.0108,16506000000
S100K25W,2585336000,413496000,2924702000,1894488000,0.648," (4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額(千円)資本金残高(千円)資本準備金増減額(千円)資本準備金残高(千円)2020年８月15日（注）１6,036,0007,545,000―131,800―88,950 （注）１．株式分割（１：５）によるものであります。２．2020年10月12日を払込期日とする有償一般募集増資（ブックビルディング方式による募集）による普通株式2,500,000株（発行価格3,000円、引受価格2,760円、資本組入額1,380円）発行により、資本金及び資本準備金が、それぞれ3,450,000千円増加しております。３．2020年11月10日を払込期日とする有償第三者割当（オーバーアロットメントによる売出しに関連した第三者割当）による増資により、発行済株式総数が375,000株、資本金及び資本準備金がそれぞれ517,500千円増加しております。 ",261739000
S100K25Y,455200000000,10766000000,798041000000,277243000000,0.308,0.0007,6088000000
S100K26U,657075000000,47020000000,1445917000000,778442000000,0.538,0.0206,
S100K27H,38896000000,3884000000,99588000000,43025000000,0.432,0.0064,
S100K28E,484145000000,75661000000,2795895000000,749171000000,0.268,0.012,
S100K29X,349327000000,47941000000,588311000000,433570000000,0.736,0.0090,34607000000
S100K2AS,198130000,3015000,973097000,944063000,0.970,"(4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額(千円)資本金残高(千円)資本準備金増減額(千円)資本準備金残高(千円)   2020年７月１日～ 2020年９月30日（注）1439,8007,666,600823,0851,616,535823,0851,616,535 (注) １ 新株予約権の行使による増加であります。 ２ 2020年10月１日から2020年10月31日までの間に、新株予約権の行使により、発行済株式総数が200株、資本金及び資本準備金がそれぞれ60千円増加しております。 ",-2962000
S100K2AY,95917000000,7731000000,179109000000,131385000000,0.734,155064249,7323000000
S100K2B4,5889551000000,982805000000,22233561000000,9036550000000,0.406,0.047,
S100K2BC,5741329000,155128000,3682708000,1088822000,0.293,0.0170,102148000
S100K2BD,524741000000,,809804000000,454161000000,0.561,0.0385,
S100K2BR,11305205000,2628080000,43347711000,32241885000,0.739,0.0559,1273085000
S100K2C2,96653000000,11303000000,53764000000,34074000000,0.628,0.0089,7752000000
S100K2DV,428141000000,21415000000,671641000000,371018000000,0.507,0.0673,5936000000
S100K2E6,1437835000000,61059000000,2266822000000,877557000000,0.387,0.0875,
S100K2ER,1523770000000,45976000000,3071297000000,1765407000000,0.495,0.0175,28013000000
S100K2FI,20340966000,4148996000,65457491000,56930933000,0.870,0.0030,2868049000
S100K2H1,218354000000,7203000000,711149000000,399530000000,0.560,0.0260,4474000000
S100K2HI,186479000000,17869000000,414514000000,291927000000,0.704,0.0042,13246000000
S100K2HP,965290000000,72764000000,2190336000000,836491000000,0.368,0.0048,56813000000
S100K2I4,2862260000,1357015000,5128317000,3487884000,0.677,0.0004,1113049000
S100K2IN,191953000000,15348000000,482210000000,250743000000,0.513,0.0257,10852000000
S100K2IP,1460750000000,166184000000,2998548000000,1383264000000,0.461,0.0039,
S100K2IX,16564000000,3439000000,125750000000,118123000000,0.936,0.0159,5931000000
S100K2J8,994779000000,48648000000,2851991000000,923918000000,0.3240,0.0269,
S100K2JW,473959000000,37196000000,750421000000,402455000000,0.491,0.0081,21945000000
S100K2KY,356955000000,14698000000,543339000000,128727000000,0.237,0.0030,
S100K2M9,162346000000,7730000000,651501000000,452551000000,0.644,0.0000,12069000000
S100K2MN,106839000000,44839000000,2472552000000,825140000000,0.313,0.0323,32233000000
S100K2MV,3651002000000,,6541069000000,1937489000000,0.2962,0.0008,
S100K2MX,422881000000,46749000000,1732168000000,395847000000,0.229,0.0004,
S100K2N9,3411236000000,,12096676000000,4211441000000,0.3481,0.0197,
S100K2OF,4488977000,332181000,6443467000,1672515000,0.251,0.0147,213779000
S100K2OQ,1059063000000,68393000000,2759434000000,1114994000000,0.404,0.0185,
S100K2PA,760938000000,,2180365000000,,0.748,0.053,
S100K2Q1,176209000000,11820000000,360285000000,137997000000,0.381,0.0345,7678000000
S100K2QC,142990000000,27803000000,364028000000,267459000000,0.7347,0.0021,
S100K2QN,3483154000,150459000,3905857000,365909000,0.094,0.0002,79017000
S100K2RR,68779000000,8777000000,4061213000000,161571000000,0.0383,0.0139,5644000000
S100K2SK,1107558000000,102545000000,3206058000000,963003000000,0.300,0.0123,
S100K2SY,84197000000,8501000000,412420000000,134725000000,0.315,0.0134,5499000000
S100K2T8,766414000000,59852000000,1765941000000,723440000000,0.408,0.0708,44879000000
S100K2VG,125246000000,13258000000,204449000000,161903000000,0.759,0.0000,8820000000
S100K2WB,72610000000,18900000000,22809247000000,1285618000000,0.054,0.1037,33383000000
S100K2WN,195870000000,13820000000,335461000000,187179000000,0.553,0.0000,10471000000
S100K2X3,532266000000,20759000000,1373944000000,538975000000,0.430,0.0002,
S100K2XO,62979000000,21708000000,884092000000,280469000000,0.316,0.0013,13751000000
S100K2XX,556515000000,41497000000,1060004000000,636962000000,0.5777,0.0493,29633000000
S100K2YL,2539719000000,,36848701000000,7312274000000,0.198,0.1007,
S100K2YV,406661000000,11116000000,950433000000,390605000000,0.371,0.0432,5978000000
S100K304,104982000000,8311000000,285602000000,178667000000,0.626,0.0511,
S100K30A,323100000000,8317000000,462804000000,176691000000,0.363,0.0187,6232000000
S100K30Z,5489699000000,,10806391000000,2964384000000,0.2743,0.0597,
S100K310,1929367000,259303000,2523106000,2030290000,0.804,22249500,159752000
S100K31G,71943000000,2904000000,226284000000,89155000000,0.394,0.0169,3731000000
S100K31K,722224000000,18497000000,1239028000000,536290000000,0.4328,0.0008,
S100K342,3175671000000,196619000000,12193291000000,3301201000000,0.270,0.0009,420642000000
S100K34K,746610000000,37050000000,3527602000000,1004690000000,0.285,0.0232,
S100K35A,782654000,163561000,1589278000,1033857000,0.651,5002000,105969000
S100K35F,60420000000,,1089978000000,205341000000,0.1880,1192464000,-258000000
S100K35N,111202000000,19831000000,222557000000,167160000000,0.751,0.0473,15245000000
S100K35T,1213485000000,,3637564000000,1870378000000,0.492,0.0281,
S100K37G,439099000000,9527000000,409579000000,123666000000,0.3019,0.0333,
S100K37Z,137502000000,7623000000,277375000000,178754000000,0.530,0.0100,4374000000
S100K383,574350000000,12045000000,2069083000000,633474000000,0.2445,0.0086,25636000000
S100K389,93769000000,41582000000,1546737000000,369380000000,0.233,0.0001,24955000000
S100K38K,330229000000,,762907000000,,0.677,0.0184,
S100K38Q,742323000000,406873000000,9388495000000,3757904000000,0.396,0.0437,257533000000
S100K398,385351000000,22133000000,834393000000,282673000000,0.339,0.0094,
S100K39I,373234000000,33612000000,1357448000000,339474000000,0.249,0.0697,23304000000
S100K3AM,356857000000,-67737000000,988328000000,200333000000,0.084,0.0270,-66491000000
S100K3BF,319853000000,13364000000,364557000000,88393000000,0.214,0.0162,7586000000
S100K3CP,13219000000,2026000000,89883000000,77238000000,0.859,0.0514,1360000000
S100K3D7,238100000000,5345000000,512260000000,175663000000,0.326,0.0033,1825000000
S100K3D9,618077000000,47573000000,1001241000000,579609000000,0.545,0.0497,31862000000
S100K3EU,33493000000,3077000000,311549000000,263940000000,0.842,0.1208,2183000000
S100K3EW,1491436000,-486967000,6811677000,4111837000,0.543,"(4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額 (千円)資本金残高 (千円)資本準備金増減額(千円)資本準備金残高(千円)2020年7月1日～2020年8月31日（注）１203,57448,524,39613,491 6,228,686 13,49114,176,8962020年9月1日（注）２7,20548,531,60119,0576,247,74319,05714,195,9532020年9月2日～2020年9月30日（注）１9948,531,700246,247,7682414,195,978 （注）１．新株予約権の行使による増加です。（注）２．譲渡制限付株式報酬としての新株発行による増加です。 発行価格　　1株につき5,290円 資本組入額　1株につき2,645円 割当先　当社従業員（注）３．当社は、2020年10月14日付で譲渡制限付株式報酬としての新株発行をしており、発行済株式総数が334株、資本金及び資本準備金がそれぞれ1,252千円増加しております。 ",-490684000
S100K3F9,436040000000,33759000000,1030674000000,420376000000,0.391,0.0303,20444000000
S100K3FF,428914000000,42334000000,978274000000,549958000000,0.550,0.0308,19357000000
S100K3G8,68498000000,2845000000,152468000000,48621000000,0.319,0.0193,1885000000
S100K3H4,366461000000,20269000000,578815000000,275778000000,0.463,0.0002,11863000000
S100K3H7,29529000000,13569000000,57867000000,45902000000,0.793,0.0040,
S100K3HK,1011906000,-195838000,4443870000,1632014000,0.367,0.0251,-139213000
S100K3IP,24247000000,2019000000,57972000000,19094000000,0.329,0.1478,1321000000
S100K3IV,110272000000,37173000000,1648162000000,485308000000,0.2895,0.0050,22384000000
S100K3J3,,1399218000000,53350562000000,20312216000000,0.381,0.1417,
S100K3JI,483898000000,22947000000,881132000000,396451000000,0.450,0.0434,
S100K3JL,145315000000,15139000000,302312000000,163447000000,0.535,0.0523,9699000000
S100K3JU,431389000000,22463000000,1016058000000,458632000000,0.4162,0.0505,16202000000
S100K3K0,134565000000,10916000000,193603000000,104546000000,0.540,0.0624,
S100K3K2,939155000000,30131000000,4836855000000,661441000000,0.131,0.0005,7186000000
S100K3K8,468720000000,54401000000,5848379000000,778144000000,0.129,0.0051,38278000000
S100K3K9,65250000000,5044000000,317640000000,180486000000,0.817,0.0516,
S100K3KN,"(1) 経常収益（単位：百万円） 日本北米その他合計7,010921217,953（注）1.売上高に代えて、経常収益を記載しております。2.経常収益は顧客の所在地を基礎とし、国又は地域に分類しております。 ",,37101000000,13118000000,0.354,51145000,-384000000
S100K3KR,1041297000000,296568000000,8288142000000,3216369000000,0.385,0.0009,188534000000
S100K3KU,17696501000,9186813000,43046001000,34072897000,0.789,0.0178,6337072000
S100K3L2,118652000000,8862000000,252721000000,177576000000,0.695,0.0256,5946000000
S100K3L8,1827690000000,130557000000,5338791000000,1380067000000,0.258,0.0551,
S100K3M6,613894000,179006000,1297988000,780804000,0.602,3240000,175594000
S100K3M8,508442000000,102454000000,1167578000000,803177000000,0.679,0.0071,78722000000
S100K3MB,252476000000,13711000000,651112000000,328419000000,0.450,0.0186,11257000000
S100K3MV,491898000,-83746000,1149719000,614207000,0.532,2491100,-60301000
S100K3MZ,199299000000,90007000000,706258000000,614670000000,0.870," (4) 【発行済株式総数、資本金等の推移】 年月日発行済株式総数増減数(株)発行済株式総数残高(株)資本金増減額(百万円)資本金残高(百万円)資本準備金増減額(百万円)資本準備金残高(百万円)2020年７月１日～2020年９月30日（注）１1,464,000885,897,5391,34621,4571,34620,707 （注）１．新株予約権の行使により、発行済株式総数が1,464,000株増加、資本金及び資本準備金がそれぞれ1,346百万円増加しております。２．2020年10月１日から2020年10月31日までの間に、新株予約権の行使により、発行済株式総数が66,000株増加、資本金及び資本準備金がそれぞれ56百万円増加しております。 ",
S100K3OO,99139000000,31682000000,2485688000000,584378000000,0.231,0.0004,14395000000
S100K3P5,3000031000000,60301000000,3996677000000,1312161000000,0.315,0.0001,45347000000
S100K3PD,208524000000,27560000000,517553000000,353803000000,0.684,0.0822,
S100K3Q5,227936000000,29366000000,352443000000,235665000000,0.665,0.0000,20564000000
S100K3Q9,83092000000,5826000000,142743000000,69138000000,0.479,0.0223,4189000000
