DocID,NetSales_LLM,OperatingIncome_LLM,Sentiment_LLM
S100V0LG,16123140000.0,,0.2
S100PXFB,120672000000.0,12387000000.0,0.6
S100SVX3,3219000000.0,-1603000000.0,-0.6
S100OBQJ,1153663000.0,,-0.6
S100RL4C,1970705000.0,298845000.0,0.6
S100M72L,136643000000.0,14189000000.0,0.6
S100SVXG,11771912000.0,-4715307000.0,-0.6
S100OBS1,553831000000.0,,
S100V0MK,2980491000.0,,0.6
S100SVXY,241813000000.0,7043000000.0,
S100V0NH,242826000000.0,12651000000.0,0.6
S100PXG0,262235000000.0,,
S100RL4G,73625000000.0,,0.4
S100PXG7,107796000000.0,34707000000.0,
S100OBSR,366185000000.0,,
S100V0U2,361129000000.0,23384000000.0,0.0
S100M73B,44563000000.0,6255000000.0,
S100SVY0,562288000000.0,17695000000.0,
S100M72Y,9802000000.0,,0.3
S100PXIK,208571000000.0,28991000000.0,0.0
S100OBTL,9090196000.0,,
S100RL59,85669000000.0,3097000000.0,
S100SVYJ,200193000.0,-466969000.0,
S100RL4P,650739000000.0,,0.1
S100V11F,305620000.0,,-0.2
S100PXJ4,125297000000.0,6764000000.0,
S100OBUB,396856000000.0,,-0.2
S100RL5A,31302000000.0,4238000000.0,0.6
S100SVYK,14304263000.0,1087997000.0,
S100M746,41009000000.0,1459000000.0,
S100OBUO,2280775000000.0,,0.0
S100V126,237932000000.0,,-0.2
S100M73T,2372137000000.0,84380000000.0,0.6
S100PXLO,136948000000.0,5021000000.0,-0.3
S100RL5C,583471000000.0,24891000000.0,0.4
S100V12D,51711413000.0,,-0.6
S100OBW1,132097000000.0,,-0.3
S100PXQ2,407520000000.0,48132000000.0,0.6
S100SW01,990627000000.0,,
S100M747,30535072000.0,10222260000.0,
S100RL5K,196935000000.0,26027000000.0,0.2
S100SW1X,3239931000.0,418729000.0,0.0
S100OBWF,506023000000.0,,-0.2
S100M749,91868000000.0,11898000000.0,0.5
S100V12Q,6208984000.0,,0.4
S100PXR1,3475702000.0,865581000.0,0.6
S100RL66,51092000000.0,5803000000.0,0.0
S100SW2H,104308000.0,-687380000.0,0.0
S100V28Y,125295000000.0,41913000000.0,0.3
S100M74S,424229000.0,50317000.0,0.6
S100OBWX,,,0.0
S100RL6U,9690849000.0,820808000.0,0.3
S100SW2W,21069424000.0,102354000.0,0.2
S100PXVK,187392000000.0,9235000000.0,
S100M76V,2090759000.0,83491000.0,0.2
S100PXVO,256941000000.0,20100000000.0,0.7
S100OBX0,270332000000.0,,0.0
S100SW3G,174025000.0,-956716000.0,-0.8
S100V2O8,1334756000.0,530668000.0,
S100RL81,214743000000.0,9246000000.0,0.3
S100M76Z,5827266000.0,881247000.0,
S100V2QG,12854215000.0,-583781000.0,-0.6
S100PXWO,183973000000.0,6733000000.0,0.0
S100RL8A,3039246000.0,-20456000.0,
S100OBY8,94900000000.0,,0.2
S100PXWP,548649000000.0,13559000000.0,0.0
S100SW3Z,4220427000.0,619726000.0,0.0
S100V2R8,224806000000.0,10462000000.0,0.4
S100M77F,3934920000.0,221465000.0,
S100RL8C,54751000000.0,2755000000.0,0.6
S100OBYA,361361000000.0,103195000000.0,
S100SW4O,1734025000.0,374429000.0,0.4
S100V2SB,153934000000.0,44000000.0,-0.4
S100M77V,245262000000.0,20259000000.0,
S100OBZE,642023000000.0,,
S100V2SG,277399000000.0,,0.6
S100PXX5,716393000000.0,117077000000.0,0.0
S100SW57,7425755000.0,38702000.0,0.1
S100M784,79363000000.0,15052000000.0,0.6
S100RL8F,46662000000.0,,
S100PXX7,537446000.0,-10426000.0,-0.6
S100RL8O,179860000000.0,10044000000.0,0.2
S100SW62,,,
S100V2WB,93739000000.0,-2279000000.0,
S100OBZH,642565000000.0,,0.2
S100M78J,31734000000.0,3675000000.0,
S100PXYH,2814044000000.0,48268000000.0,
S100OC0T,2724097000.0,,0.1
S100RL90,49255000000.0,10289000000.0,
S100SW6E,1047594000000.0,,0.6
S100M78L,32805000000.0,1616000000.0,0.0
S100OC13,31379507000000.0,,0.0
S100V2XW,1244512000.0,6865000.0,0.0
S100RL9A,43102000000.0,2506000000.0,0.3
S100PY0Q,132926000000.0,13952000000.0,0.6
S100V2YT,505936000000.0,20344000000.0,0.5
S100OC19,93174000000.0,,
S100M78W,12021000000.0,4012000000.0,0.0
S100SW6K,,,0.0
S100RL9I,45249000000.0,5460000000.0,
S100V313,10843838000.0,131430000.0,
S100SW6W,134673000000.0,9253000000.0,0.3
S100PY5D,63947000000.0,4587000000.0,
S100OC1D,594840000000.0,,-0.2
S100M79N,88604000000.0,17316000000.0,0.0
S100PY64,177026000000.0,11165000000.0,
S100SW6Z,9055692000.0,1292877000.0,0.6
S100V35N,449627000.0,147982000.0,0.0
S100RL9M,1020882000000.0,92300000000.0,0.4
S100PY6M,8823781000000.0,,0.6
S100RL9T,1765072000.0,239002000.0,
S100OC2F,935139000000.0,,-0.2
S100M7AH,10000000.0,-2443000000.0,
S100V35U,2084000000.0,666000000.0,
S100SW8G,268771000000.0,61495000000.0,
S100RL9W,253104000000.0,34527000000.0,0.5
S100M7AR,349994000000.0,,
S100SW8V,866663000000.0,-103787000000.0,-0.7
S100OC2H,384849000000.0,,0.3
S100PY7W,71382000000.0,17739000000.0,
S100V4E1,21608643000.0,3110968000.0,0.4
S100PYCW,17250533000.0,283832000.0,0.5
S100OC60,361495000000.0,,-0.2
S100M7B3,111358000000.0,13944000000.0,0.8
S100RL9X,320006000000.0,38150000000.0,0.6
S100V4V9,370913000000.0,,0.2
S100SW9Y,193254000000.0,-24861000000.0,
S100M7BD,165407000000.0,7049000000.0,
S100OC85,179907000000.0,,-0.2
S100PYD5,36718644000.0,9491875000.0,0.7
S100SWAH,1776458000.0,201357000.0,-0.2
S100RLA4,553850000000.0,,
S100V4WC,873610000.0,,-0.2
S100M7BE,42315000000.0,6008000000.0,
S100OC94,5446708000000.0,,0.0
S100SWAM,2012113000.0,-404893000.0,-0.8
S100PYFW,9103908000.0,-367980000.0,-0.6
S100RLAA,193534000000.0,,
S100V4ZT,1218501000.0,,-0.2
S100M7C2,1872127000000.0,75979000000.0,0.0
S100OCBS,172809000000.0,,0.0
S100SWAP,263732000000.0,18509000000.0,0.6
S100V59M,26880693000.0,,0.0
S100RLAG,224812000000.0,27989000000.0,
S100PYHL,2241555000.0,49225000.0,0.0
S100M7C7,222973000.0,-200691000.0,0.0
S100RLAR,1818922000000.0,44871000000.0,0.0
S100OCDQ,163671000000.0,,0.6
S100PYHU,674267000.0,154714000.0,0.2
S100SWAQ,926448000000.0,,
S100OCEU,245419000000.0,,0.3
S100V5C6,1867358000.0,,0.5
S100PYIP,798413000.0,-80802000.0,
S100M7C9,70097000000.0,26697000000.0,
S100RLC0,240638000000.0,13605000000.0,
S100V5GU,189883000000.0,,
S100SWB6,72425000000.0,21390000000.0,0.0
S100OCG5,4365145000000.0,416466000000.0,0.4
S100PYJ4,2188992000.0,-10673000.0,
S100M7CD,137486000000.0,7356000000.0,0.4
S100RLD0,85598000000.0,5012000000.0,0.6
S100V5MU,507883000000.0,,0.0
S100SWD3,13579786000.0,368642000.0,0.0
S100M7CG,2661328000.0,504153000.0,
S100OCH5,98235000000.0,,0.0
S100V5ON,18183000000.0,1740000000.0,
S100SWDO,17075000000.0,1243000000.0,
S100M7CK,899574000.0,55653000.0,0.6
S100RLF4,2466317000.0,84610000.0,
S100PYJ5,19354000000.0,1808000000.0,0.4
S100RLF8,70500000.0,-104457000.0,0.0
S100OCIA,761823000000.0,,
S100PYJK,14958962000.0,919371000.0,
S100SWDU,3667743000.0,398218000.0,0.6
S100V5YS,3300850000.0,,0.0
S100M7CO,980074000000.0,,0.0
S100OCIH,680962000000.0,,0.0
S100RLFZ,266408000000.0,-4406000000.0,0.3
S100PYKT,7262744000.0,785670000.0,0.6
S100V6PL,890463000.0,62897000.0,0.6
S100PYLC,2070868000.0,750925000.0,
S100OCIU,81482000000.0,,
S100M7D2,,,
S100V7D2,7154790000.0,553619000.0,0.4
S100RLGI,203351000000.0,14300000000.0,0.6
S100SWGF,4115490000.0,864015000.0,
S100OCJ8,,,-0.4
S100M7D8,288874000000.0,8042000000.0,0.0
S100PYN0,1880000000.0,402000000.0,
S100RLGJ,198970000000.0,56105000000.0,
S100PYP0,3756826000.0,639740000.0,0.3
S100V7N8,128968000000.0,63662000000.0,0.8
S100OCKQ,6808890000000.0,,-0.6
S100SWH0,80717000000.0,26658000000.0,
S100M7DR,207920000000.0,,0.6
S100V7NH,101037000000.0,8970000000.0,
S100RLGL,510059000000.0,30655000000.0,
S100SWH8,1549433000.0,-182785000.0,-0.7
S100OCL9,299017000000.0,52336000000.0,
S100PYQU,324248000000.0,14115000000.0,0.3
S100M7DX,864024000000.0,,0.0
S100SWHA,,,
S100V7O4,1716554000.0,423960000.0,0.6
S100OCLM,1060893000000.0,,-0.3
S100PYS9,5686082000.0,-914699000.0,
S100M7EC,5942000000.0,,
S100RLGO,496524000000.0,,0.4
S100SWHS,772035000000.0,78282000000.0,
S100M7ED,174013000000.0,26461000000.0,0.6
S100PYSL,1245789000.0,-31977000.0,-0.2
S100RLH1,77674000000.0,10904000000.0,
S100V7QL,134872000000.0,,0.6
S100OCLP,71932000.0,,0.0
S100SXY6,463464000000.0,,
S100RLH4,22806000000.0,9890000000.0,
S100OCNV,,,-0.2
S100V7R6,45581000000.0,,
S100PYT0,6304462000.0,88012000.0,
S100M7G9,420712000000.0,32376000000.0,0.0
S100OCQR,162552000000.0,,0.0
S100M7IE,33279000000.0,2377000000.0,0.6
S100SY1F,2777125000.0,,
S100V7TD,1733861000.0,103172000.0,
S100PYUZ,3254879000.0,369452000.0,
S100RLHA,521056000000.0,36712000000.0,0.5
S100SYHG,79446329000.0,,
S100V7WK,8070039000.0,378730000.0,0.3
S100M7IH,201201000000.0,30148000000.0,
S100OCR3,2461317000000.0,,0.3
S100RLHH,1061242000000.0,69744000000.0,0.3
S100PYV9,4421123000.0,498836000.0,
S100V7ZY,2648486000.0,589352000.0,0.6
S100SYOA,9885472000.0,,
S100M7JH,149836000000.0,,0.0
S100RLHP,577108000.0,88605000.0,
S100OCR5,6686761000000.0,,-0.4
S100V869,,-468815000.0,0.0
S100PYVX,,-412616000.0,0.4
S100SYRY,4987070000.0,744468000.0,0.6
S100M7KF,84058000000.0,8952000000.0,
S100PYVY,1089175000.0,-220658000.0,0.2
S100RLI1,47000632000.0,16022020000.0,0.6
S100OCRO,1174389000000.0,,0.3
S100SYSN,1940397000.0,,0.1
S100V87U,118439000000.0,15108000000.0,0.0
S100PYW5,1186680000.0,345382000.0,0.6
S100OCUC,2228523000000.0,,
S100M7KT,583758000000.0,72842000000.0,0.7
S100RLIL,84303000000.0,46585000000.0,
S100SZ69,3442875000.0,,0.5
S100OCUI,2440452000000.0,,
S100M7LQ,5575822000.0,437613000.0,0.6
S100V8AB,12653339000.0,1516009000.0,
S100PZ0I,495991000000.0,21900000000.0,
S100RLJ4,21101000000.0,3552000000.0,
S100M7LR,248305000000.0,19628000000.0,
S100V8B8,1654022000.0,738523000.0,0.6
S100OCUV,6221534000000.0,,
S100SZWZ,102445000000.0,,0.4
S100RLJU,445681000000.0,18854000000.0,0.6
S100V8KV,697837000.0,73361000.0,
S100T0O1,224730000000.0,17472000000.0,0.2
S100PZ0K,404016000000.0,15385000000.0,0.3
S100M7LS,,,0.6
S100T10Z,6538441000.0,240307000.0,
S100OCV5,40401573000.0,,-0.6
S100RLKK,59906000000.0,8527000000.0,0.5
S100V8KZ,403741000000.0,9700000000.0,0.0
S100PZ5G,4132993000.0,300068000.0,
S100M7M3,187303000000.0,10707000000.0,
S100OCWL,411865000000.0,,
S100RLKS,18297000000.0,7506000000.0,0.0
S100PZ5X,38651000000.0,2770000000.0,0.0
S100T12G,2984436000.0,-1618293000.0,-0.6
S100V8LG,7599000000.0,220000000.0,0.4
S100OCWZ,416901000000.0,,0.3
S100PZ5Z,7194922000.0,-784643000.0,
S100M7ML,2917561000.0,-320529000.0,-0.3
S100RLLM,220659000000.0,46786000000.0,
S100T18O,31432000000.0,9791000000.0,0.7
S100V8M3,2980941000.0,668543000.0,0.6
S100OCZC,301022000000.0,,0.0
S100M7N9,568844000000.0,21645000000.0,0.0
S100PZWH,1706779000.0,-50383000.0,-0.6
S100RLLT,187008000000.0,6211000000.0,0.0
S100V8MI,73709000.0,-308163000.0,0.0
S100M7P2,65467000000.0,25055000000.0,0.0
S100OCZD,414150000000.0,,0.0
S100T1DP,442233000000.0,,0.2
S100Q04S,680618000000.0,369031000000.0,
S100M7Q2,5758304000.0,-759445000.0,0.4
S100T1E6,86731000000.0,8622000000.0,0.0
S100V8NI,22129127000.0,1798258000.0,0.4
S100RLLZ,222666000000.0,14242000000.0,0.7
S100OD03,12293348000000.0,,0.3
S100RLMD,850828000000.0,121654000000.0,0.0
S100T1EV,491605000.0,48491000.0,
S100Q06T,290253000000.0,,0.2
S100V8NQ,61491000000.0,17395000000.0,
S100M7QN,478341000.0,-129762000.0,
S100OD08,8028000000000.0,,0.6
S100RLMU,94596000000.0,7422000000.0,0.2
S100Q0MF,205120000000.0,79128000000.0,
S100T1L1,3583440000.0,654817000.0,0.5
S100V8NY,94161000000.0,11413000000.0,
S100M7R0,182774000000.0,57384000000.0,0.0
S100OD0Y,1781943000.0,,0.4
S100Q0P8,167577000000.0,-1255000000.0,-0.6
S100RLNN,207723000000.0,22476000000.0,0.5
S100V8P5,25138293000.0,1806230000.0,
S100T1LV,120904000000.0,8531000000.0,0.6
S100OD13,65272000000.0,,0.0
S100M7S8,13187000000.0,4245000000.0,0.0
S100Q0PG,186199000000.0,9452000000.0,
S100M7SL,100244000000.0,-1287000000.0,0.3
S100RLNS,391746000000.0,82433000000.0,
S100T1MQ,5201946000.0,336494000.0,0.3
S100V8PI,15250934000.0,868042000.0,
S100OD19,1459706000000.0,,-0.7
S100RLO1,1824162000.0,160669000.0,
S100M7T3,60264000000.0,4142000000.0,
S100T1MT,11778011000.0,552892000.0,0.0
S100Q0Q3,3908588000000.0,231015000000.0,
S100Q0S6,726075000.0,,0.0
S100OD3U,,,-0.2
S100V8VA,1694739000.0,277393000.0,0.6
S100RLO2,4864391000.0,276289000.0,
S100V8VX,2197231000.0,-111270000.0,
S100M7UG,1314503000.0,192832000.0,0.0
S100T1YG,,-1033708000.0,
S100OD53,,,
S100RLOC,4806138000.0,502632000.0,0.4
S100V8XE,25731005000.0,1726339000.0,0.4
S100T1ZK,268547000.0,61439000.0,0.2
S100M7UO,6732630000.0,865885000.0,0.0
S100Q0U7,339020000000.0,122590000000.0,0.7
S100OD6Q,49272000000.0,,-0.2
S100RLOK,47528000000.0,3745000000.0,0.4
S100Q0ZM,12592000000.0,1365000000.0,0.0
S100T21C,23273375000.0,9041047000.0,0.6
S100M7VG,40867000000.0,,
S100V91H,1128614000000.0,,0.6
S100Q12L,113787000000.0,,
S100OD70,151275000000.0,,0.5
S100T2CC,4190000000.0,335000000.0,0.0
S100RLOO,218914000000.0,7933000000.0,0.0
S100V92T,11938887000.0,328734000.0,0.6
S100M7VX,2658034000000.0,,0.6
S100OD7G,529667000000.0,,0.2
S100Q181,254070000000.0,137718000000.0,0.6
S100RLPE,2019739000000.0,,0.0
S100T2CR,2045182000.0,37044000.0,
S100OD8B,1172904000000.0,81497000000.0,0.3
S100V941,8294683000.0,,0.7
S100M7WO,47182000000.0,6423000000.0,0.6
S100Q1DP,1997017000.0,,-0.7
S100T2CW,6043040000.0,1283048000.0,
S100RLPG,42994000000.0,3250000000.0,0.0
S100V95W,2512555000.0,314183000.0,
S100M7X1,250410000000.0,71041000000.0,
S100OD9W,802854000000.0,,-0.6
S100Q1EB,817791000.0,,0.3
S100RLPT,1058165000000.0,,
S100V9S3,552778000000.0,,
S100RLQ3,53534000000.0,7881000000.0,
S100Q1EG,412791000000.0,26218000000.0,0.2
S100M7XG,178064000000.0,7306000000.0,0.7
S100ODCY,256551000000.0,,0.0
S100T2DS,34339000000.0,414000000.0,
S100T2E4,344485000.0,647000.0,0.6
S100VAGJ,82191828000.0,,0.0
S100ODD2,539612000000.0,,0.0
S100M7YU,83836000000.0,15147000000.0,0.0
S100Q1H1,79671000000.0,33332000000.0,-0.2
S100RLRA,111181000000.0,13190000000.0,
S100T2EK,3917014000.0,703559000.0,0.6
S100ODD3,645273000000.0,,0.0
S100RLSB,13853381000.0,3058705000.0,0.0
S100Q1IJ,1104584000000.0,41907000000.0,
S100VAPS,3312248000.0,,0.0
S100M7Z4,407735000000.0,20733000000.0,
S100T2F3,6547495000.0,277856000.0,
S100VAQ1,11211465000.0,,0.6
S100M7Z6,1404279000.0,779210000.0,0.0
S100ODJL,271959000.0,,-0.8
S100Q1IO,108347000000.0,16722000000.0,0.8
S100T2H9,655124000.0,-73380000.0,
S100RLST,50591000000.0,5543000000.0,0.6
S100VB1D,2545724000.0,,0.0
S100RLSZ,12722000000.0,3530000000.0,
S100T2HJ,12266617000.0,1129684000.0,0.0
S100ODLJ,918580000000.0,,0.4
S100Q1KD,2269259000000.0,57099000000.0,0.0
S100M7ZF,6077363000.0,955330000.0,0.6
S100VBKN,2104685000.0,,0.4
S100ODMQ,1149370000000.0,120915000000.0,
S100Q1KT,1320044000000.0,28151000000.0,0.0
S100M80K,498397000000.0,,0.0
S100RLUB,1226403000000.0,142753000000.0,0.6
S100M81P,162643000000.0,5596000000.0,
S100VC6D,99433000000.0,,-0.2
S100Q1M2,63171000.0,-189546000.0,
S100ODO1,17507000000.0,,0.6
S100T2ID,446383000000.0,,0.2
S100VCWG,306869000000.0,36221000000.0,0.0
S100RLVM,164488000000.0,42956000000.0,0.4
S100T2Q7,1625889000.0,,-0.2
S100M82C,244277000000.0,,0.3
S100ODPW,663414000000.0,,
S100Q1MY,9413775000.0,1354204000.0,
S100RLXF,4937241000.0,557955000.0,0.4
S100T2XQ,6256000000.0,,0.6
S100M83J,117778000000.0,-3463000000.0,0.0
S100VD7B,71865000000.0,,-0.4
S100ODQV,1902124000000.0,,
S100RLZ9,209337000000.0,4938000000.0,0.5
S100T2YU,8910919000.0,,0.4
S100VDMK,495558000000.0,,0.0
S100Q1PS,569422000000.0,9891000000.0,0.5
S100ODRB,,,-0.4
S100T2ZS,1532579000000.0,,-0.2
S100RM00,893353000000.0,,0.6
S100Q1QH,406813000000.0,,0.2
S100M84B,144322000000.0,58730000000.0,
S100VDT0,36930000000.0,10224000000.0,0.5
S100Q1R4,415081000000.0,57589000000.0,0.4
S100ODSS,7388791000000.0,,0.6
S100M84O,8363257000.0,205181000.0,0.6
S100RM0A,399545000000.0,22011000000.0,
S100T32B,2414759000000.0,,0.0
S100VE3T,,-1066080000.0,
S100M84W,32329000000.0,5708000000.0,-0.2
S100ODSU,363780000000.0,,
S100Q1TC,1401554000000.0,161511000000.0,0.6
S100RM13,792193000.0,-19000.0,0.2
S100T32K,3020711000000.0,,
S100VE4F,615134000.0,-306233000.0,
S100M84X,120480000000.0,,
S100ODSV,1344147000000.0,,0.0
S100RM1C,72612000000.0,-577000000.0,
S100M853,113520000000.0,10258000000.0,0.0
S100Q1UF,74521000000.0,46826000000.0,
S100VEBC,6962051000.0,240353000.0,0.4
S100T37L,4536499000.0,,-0.2
S100ODU6,467937000000.0,,
S100Q1Y3,635488000000.0,32157000000.0,0.2
S100T3AF,142608000000.0,,0.0
S100RM2V,9494293000.0,1308012000.0,0.6
S100M85K,99210000000.0,10887000000.0,
S100VEC3,16033415000.0,1065520000.0,0.6
S100ODUS,165448000000.0,,
S100VEDJ,1407065000.0,200764000.0,
S100T3BV,42574902000.0,,0.2
S100Q20K,994404000000.0,82544000000.0,0.3
S100RM2X,102037000000.0,,
S100M85T,4837219000.0,466636000.0,0.0
S100ODYH,3367863000000.0,,
S100RM30,12003785000.0,976666000.0,0.6
S100Q221,259010000000.0,,
S100VEE4,4955840000.0,1083502000.0,
S100M85X,16178758000.0,1314553000.0,
S100T3FG,5589708000.0,,-0.7
S100ODYL,441797000000.0,,0.2
S100Q25H,460265000000.0,-17777000000.0,
S100RM32,132173000000.0,8670000000.0,0.6
S100T3H4,258643000000.0,,-0.1
S100VEI1,3375609000.0,58898000.0,
S100ODYT,3642443000.0,,0.4
S100M86G,632875000000.0,,0.4
S100T3KX,173455000000.0,,
S100RM3C,32752000000.0,6477000000.0,0.4
S100VEJZ,4193703000.0,548034000.0,
S100Q27X,537816000000.0,,0.4
S100M86M,52713000000.0,-2483000000.0,0.4
S100RM43,61171000000.0,11292000000.0,
S100Q28L,148760000000.0,13052000000.0,
S100ODZE,213790000000.0,,-0.3
S100T3LA,3610414000000.0,,0.3
S100M87N,52974949000.0,4359811000.0,0.6
S100VEQB,591615000000.0,,0.3
S100ODZJ,363034000000.0,,0.6
S100T3N6,91552000000.0,,0.3
S100RM45,3149131000000.0,,
S100VEU5,636235000.0,,-0.8
S100Q2AA,700180000000.0,21982000000.0,0.4
S100M87X,250432000000.0,13137000000.0,0.6
S100ODZP,365275000000.0,,-0.2
